Номер;КОЛ-ВО;Обзорное описание изданий;Примечания
коробки;экз. в коробке;(Название, год и номера или подшивки);
;;"Искусство кино 2007 г., номер 6;";
;;"Искусство кино 2007 г., номер 7;";
;;"Искусство кино 2007 г., номер 8;";
;;"Искусство кино 2007 г., номер 9;";
;;"Искусство кино 2007 г., номер 10;";
;;"Искусство кино 2007 г., номер 11;";
;;"Искусство кино 2007 г., номер 12;";
;;"Искусство кино 2008 г., номер 1;";
;;"Искусство кино 2008 г., номер 2;";
;;"Искусство кино 2008 г., номер 3;";
;;"Искусство кино 2008 г., номер 4;";
;;"Искусство кино 2008 г., номер 5;";
;;"Искусство кино 2008 г., номер 6;";
;;"Искусство кино 2008 г., номер 7;";
;;"Искусство кино 2008 г., номер 8;";
;;"Искусство кино 2008 г., номер 9;";
;;"Искусство кино 2008 г., номер 10;";
;;"Искусство кино 2008 г., номер 11;";
;;"Искусство кино 2008 г., номер 12;";
;;"Искусство кино 2009 г., номер 1;";
;;"Искусство кино 2009 г., номер 2;";
;;"Искусство кино 2009 г., номер 3;";
;;"Искусство кино 2009 г., номер 4;";
;;"Искусство кино 2009 г., номер 5;";
;;"Искусство кино 2009 г., номер 6;";
;;"Искусство кино 2009 г., номер 7;";
;;"Искусство кино 2009 г., номер 8;";
;;"Искусство кино 2009 г., номер 9;";
;;"Искусство кино 2009 г., номер 10;";
;;"Искусство кино 2009 г., номер 11;";
;;"Искусство кино 2009 г., номер 12;";
;;"Искусство кино 2010 г., номер 1;";
;;"Искусство кино 2010 г., номер 2;";
;;"Искусство кино 2010 г., номер 3;";
;;"Искусство кино 2010 г., номер 4;";
;;"Искусство кино 2010 г., номер 5;";
;;"Искусство кино 2010 г., номер 6;";
;;"Искусство кино 2010 г., номер 7;";
;;"Искусство кино 2010 г., номер 8;";
;;"Искусство кино 2010 г., номер 9;";
;;"Искусство кино 2010 г., номер 10;";
;;"Искусство кино 2010 г., номер 11;";
;;"Искусство кино 2010 г., номер 12;";
;;"Искусство кино 2011 г., номер 1;";
;;"Искусство кино 2011 г., номер 2;";
;;"Искусство кино 2011 г., номер 3;";
;;"Искусство кино 2011 г., номер 4;";
;;"Искусство кино 2011 г., номер 5;";
;;"Искусство кино 2011 г., номер 6;";
;;"Искусство кино 2011 г., номер 7;";
;;"Искусство кино 2011 г., номер 8;";
;;"Искусство кино 2011 г., номер 9;";
;;"Искусство кино 2011 г., номер 10;";
;;"Искусство кино 2011 г., номер 11;";
;;"Искусство кино 2011 г., номер 12;";
;;"Искусство кино 2012 г., номер 1;";
;;"Искусство кино 2012 г., номер 2;";
;;"Искусство кино 2012 г., номер 3;";
;;"Искусство кино 2012 г., номер 4;";
;;"Искусство кино 2012 г., номер 5;";
;;"Искусство кино 2012 г., номер 6;";
;;"Искусство кино 2012 г., номер 7;";
;;"Искусство кино 2012 г., номер 8;";
;;"Искусство кино 2012 г., номер 9;";
;;"Искусство кино 2012 г., номер 10;";
;;"Искусство кино 2012 г., номер 11;";
;;"Искусство кино 2012 г., номер 12;";
;;;
6594;77;"Искусство кино 2013 г., номер 1;";Суслова Е.В.
;;"Искусство кино 2013 г., номер 2;";Евдокимова Л.В.
;;"Искусство кино 2013 г., номер 3;";Пинто-Бакерисо Н.В.
;;"Искусство кино 2013 г., номер 4;";
;;"Искусство кино 2013 г., номер 5;";
;;"Искусство кино 2013 г., номер 6;";
;;"Искусство кино 2013 г., номер 7;";
;;"Искусство кино 2013 г., номер 8;";
;;"Искусство кино 2013 г., номер 9;";
;;"Искусство кино 2013 г., номер 10;";
;;"Искусство кино 2013 г., номер 11;";
;;"Искусство кино 2013 г., номер 12;";
;;"Искусство кино 2014 г., номер 1;";
;;"Искусство кино 2014 г., номер 2;";
;;"Искусство кино 2014 г., номер 3;";
;;"Искусство кино 2014 г., номер 4;";
;;"Искусство кино 2014 г., номер 5;";
;;"Искусство кино 2014 г., номер 6;";
;;"Искусство кино 2014 г., номер 7;";
;;"Искусство кино 2014 г., номер 8;";
;;"Искусство кино 2014 г., номер 9;";
;;"Искусство кино 2014 г., номер 10;";
;;"Искусство кино 2014 г., номер 11;";
;;"Искусство кино 2014 г., номер 12;";
;;"Искусство кино 2015 г., номер 1;";
;;"Искусство кино 2015 г., номер 2;";
;;"Искусство кино 2015 г., номер 3;";
;;"Искусство кино 2015 г., номер 4;";
;;"Искусство кино 2015 г., номер 5;";
;;"Искусство кино 2015 г., номер 6;";
;;"Искусство кино 2015 г., номер 7;";
;;"Искусство кино 2015 г., номер 8;";
;;"Искусство кино 2015 г., номер 9;";
;;"Искусство кино 2015 г., номер 10;";
;;"Искусство кино 2015 г., номер 11;";
;;"Искусство кино 2015 г., номер 12;";
;;"Искусство кино 2016 г., номер 1;";
;;"Искусство кино 2016 г., номер 2;";
;;"Искусство кино 2016 г., номер 3;";
;;"Искусство кино 2016 г., номер 4;";
;;"Искусство кино 2016 г., номер 5;";
;;"Искусство кино 2016 г., номер 6;";
;;"Искусство кино 2016 г., номер 7;";
;;"Искусство кино 2016 г., номер 8;";
;;"Искусство кино 2016 г., номер 9;";
;;"Искусство кино 2016 г., номер 10;";
;;"Искусство кино 2016 г., номер 11;";
;;"Искусство кино 2016 г., номер 12;";
;;"Искусство кино 2017 г., номер 2;";
;;"Искусство кино 2017 г., номер 3;";
;;"Искусство кино 2017 г., номер 4;";
;;"Искусство кино 2017 г., номер 5-6;";
;;"Искусство кино 2018 г., номер 1-2;";
;;"Искусство кино 2018 г., номер 3-4;";
;;"Искусство кино 2018 г., номер 5-6;";
;;"Искусство кино 2018 г., номер 7-8;";
;;"Искусство кино 2018 г., номер 9-10;";
;;"Искусство кино 2018 г., номер 11-12;";
;;"Искусство кино 2019 г., номер 1-2;";
;;"Искусство кино 2019 г., номер 3-4;";
;;"Искусство кино 2019 г., номер 5-6;";
;;"Искусство кино 2019 г., номер 7-8;";
;;"Искусство кино 2019 г., номер 9-10;";
;;"Искусство кино 2020 г., номер 1-2;";
;;"Искусство кино 2020 г., номер 3-4;";
;;"Искусство кино 2020 г., номер 5-6;";
;;"Искусство кино 2020 г., номер 7-8;";
